Year,Season,Site,Diam,Occupant,Note,N,survival,GIG,OBT,MC,ELD,BP
2024,Spring,ANS,17,ELD,NA,1,0,0,0,0,1,0
2024,Spring,ANS,18,EU,NA,1,1,0,0,0,0,0
2024,Spring,ANS,18,EU,NA,1,1,0,0,0,0,0
2024,Spring,ANS,18,EU,NA,1,1,0,0,0,0,0
2024,Spring,ANS,18,EU,NA,1,1,0,0,0,0,0
2024,Spring,ANS,18,EU,NA,1,1,0,0,0,0,0
2024,Spring,ANS,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,18,MC,NA,1,0,0,0,1,0,0
2024,Spring,ANS,18,WP,NA,1,0,0,0,0,0,1
2024,Spring,ANS,18,CK,NA,1,0,0,0,0,0,1
2024,Spring,ANS,19,EU,NA,1,1,0,0,0,0,0
2024,Spring,ANS,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,19,ELD,NA,1,0,0,0,0,1,0
2024,Spring,ANS,19,ELD,NA,1,0,0,0,0,1,0
2024,Spring,ANS,20,EU,NA,1,1,0,0,0,0,0
2024,Spring,ANS,20,EU,NA,1,1,0,0,0,0,0
2024,Spring,ANS,20,EU,NA,1,1,0,0,0,0,0
2024,Spring,ANS,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,20,CK,NA,1,0,0,0,0,0,1
2024,Spring,ANS,21,EU,NA,1,1,0,0,0,0,0
2024,Spring,ANS,21,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,21,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,21,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,21,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,22,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,22,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,25,WP,NA,1,0,0,0,0,0,1
2024,Spring,HHP,8,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,9,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,11,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,11,OBT,NA,1,0,0,1,0,0,0
2024,Spring,HHP,11,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,12,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,14,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,14,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,14,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,14,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,14,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,15,CK,NA,1,0,0,0,0,0,1
2024,Spring,HHP,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,16,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,17,EU,NA,1,1,0,0,0,0,0
2024,Spring,HHP,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,17,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,18,EU,NA,1,1,0,0,0,0,0
2024,Spring,HHP,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,18,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,18,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,18,ELD,NA,1,0,0,0,0,1,0
2024,Spring,HHP,19,EU,NA,1,1,0,0,0,0,0
2024,Spring,HHP,19,EU,NA,1,1,0,0,0,0,0
2024,Spring,HHP,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,20,EU,NA,1,1,0,0,0,0,0
2024,Spring,HHP,20,EU,NA,1,1,0,0,0,0,0
2024,Spring,HHP,20,EU,NA,1,1,0,0,0,0,0
2024,Spring,HHP,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,HHP,20,WP,NA,1,0,0,0,0,0,1
2024,Spring,HHP,20,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,4,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,8,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,9,CK,NA,1,0,0,0,0,0,1
2024,Spring,MTA,10,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,10,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,10,CK,NA,1,0,0,0,0,0,1
2024,Spring,MTA,10,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,10,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,10,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,10,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,11,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,11,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,11,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,11,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,11,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,11,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,11,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,11,MC,NA,1,0,0,0,1,0,0
2024,Spring,MTA,11,CK,NA,1,0,0,0,0,0,1
2024,Spring,MTA,11,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,12,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,12,OBT,NA,1,0,0,1,0,0,0
2024,Spring,MTA,12,CK,NA,1,0,0,0,0,0,1
2024,Spring,MTA,13,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,13,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,13,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,13,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,13,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,13,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,13,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,13,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,14,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,14,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,14,MC,NA,1,0,0,0,1,0,0
2024,Spring,MTA,14,MC,NA,1,0,0,0,1,0,0
2024,Spring,MTA,14,MC,NA,1,0,0,0,1,0,0
2024,Spring,MTA,14,MC,NA,1,0,0,0,1,0,0
2024,Spring,MTA,14,MC,NA,1,0,0,0,1,0,0
2024,Spring,MTA,14,MC,NA,1,0,0,0,1,0,0
2024,Spring,MTA,14,CK,NA,1,0,0,0,0,0,1
2024,Spring,MTA,14,CK,NA,1,0,0,0,0,0,1
2024,Spring,MTA,14,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,14,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,14,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,14,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,15,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,15,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,15,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,15,CK,NA,1,0,0,0,0,0,1
2024,Spring,MTA,15,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,15,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,15,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,15,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,16,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,16,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,16,MC,NA,1,0,0,0,1,0,0
2024,Spring,MTA,16,MC,NA,1,0,0,0,1,0,0
2024,Spring,MTA,16,MC,NA,1,0,0,0,1,0,0
2024,Spring,MTA,16,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,16,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,17,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,17,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,17,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,17,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,17,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,17,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,17,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,17,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,17,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,18,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,18,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,18,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,18,WP,NA,1,0,0,0,0,0,1
2024,Spring,MTA,18,CK,NA,1,0,0,0,0,0,1
2024,Spring,MTA,18,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,18,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,19,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,19,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,19,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,19,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,19,MC,NA,1,0,0,0,1,0,0
2024,Spring,MTA,19,WP,NA,1,0,0,0,0,0,1
2024,Spring,MTA,19,CK,NA,1,0,0,0,0,0,1
2024,Spring,MTA,20,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,20,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,20,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,20,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,20,ELD,NA,1,0,0,0,0,1,0
2024,Spring,MTA,21,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,22,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,22,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,22,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,22,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,23,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,23,EU,NA,1,1,0,0,0,0,0
2024,Spring,MTA,23,GIG,NA,1,0,1,0,0,0,0
2024,Spring,MTA,24,EU,NA,1,1,0,0,0,0,0
2024,Spring,BAR,11,ELD,NA,1,0,0,0,0,1,0
2024,Spring,BAR,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,BAR,13,EU,NA,1,1,0,0,0,0,0
2024,Spring,BAR,13,ELD,NA,1,0,0,0,0,1,0
2024,Spring,BAR,13,ELD,NA,1,0,0,0,0,1,0
2024,Spring,BAR,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,BAR,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,BAR,15,ELD,NA,1,0,0,0,0,1,0
2024,Spring,BAR,16,GIG,NA,1,0,1,0,0,0,0
