"Site","Year","Season","Diam","Occupant","Note","N","survival","GIG","OBT","MC","ELD","BP","Host.plant","Site_name","State","Country","Latitude","longitude","Confidence","Collector","collection.notes"
"AAM",2024,"Spring",15,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",18,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",18,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",18,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",18,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",19,"EU",NA,1,1,0,0,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",19,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",19,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",19,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",16,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",16,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",16,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",18,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",18,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",19,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",13,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",14,"WP",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",19,"CK",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",19,"CK",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",19,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",19,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",19,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",15,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",15,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"GIG",NA,1,0,1,0,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"WP",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"WP",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"WP",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"CK",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"CK",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",20,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"EU",NA,1,1,0,0,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"WP",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"WP",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",21,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",22,"EU",NA,1,1,0,0,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",22,"EU",NA,1,1,0,0,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",22,"EU",NA,1,1,0,0,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
