Site,Diam,Occupant
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,Eurosta
BAR,24,M. convicta
BAR,24,M. convicta
BAR,24,M. convicta
BAR,24,Woodpecker
BAR,24,Woodpecker
BAR,24,Woodpecker
BAR,24,Woodpecker
BAR,24,Early Larval Death
BAR,24,Early Larval Death
BAR,24,Early Larval Death
BAR,24,Early Larval Death
BAR,24,Early Larval Death
BAR,24,Early Larval Death
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Eurosta
BAR,25,Chickadee
BAR,25,Early Larval Death
BAR,25,Early Larval Death
BAR,26,Eurosta
BAR,26,Eurosta
BAR,26,Eurosta
BAR,26,Eurosta
BAR,26,Eurosta
BAR,26,Eurosta
BAR,26,M. convicta
BAR,26,Early Larval Death
BAR,26,Early Larval Death
BAR,26,Early Larval Death
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Eurosta
BAR,27,Woodpecker
BAR,27,Chickadee
BAR,27,Early Larval Death
BAR,27,Early Larval Death
BAR,27,Early Larval Death
BAR,28,Eurosta
BAR,28,Eurosta
BAR,28,Eurosta
BAR,28,Eurosta
BAR,28,M. convicta
BAR,29,M. convicta
BAR,31,M. convicta
